Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
FACULDADES INTEGRADAS DE SAÚDE E EDUCAÇÃO DO BRASIL;FISEB;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Metropolitana de Itacoatiara;FAMETRO;AM;universidade e instâncias ligadas à universidades;;;
FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE JACAREZINHO;FAFIJA;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE MADALENA SOFIA;FMS;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS CONTÁBEIS DE AFONSO CLÁUDIO;ISEAC;ES;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS CONTÁBEIS;FACIC;BA;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ADMINISTRAÇÃO E MARKETING DE BRASÍLIA;FAMA;DF;universidade e instâncias ligadas à universidades;;;
FACULDADE CNEC VARGINHA;;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE ADJETIVO CETEP;ADJETIVO-CETEP;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE MAFRENSE DE TURISMO E CIÊNCIAS HUMANAS DE TERESINA;FAMA;PI;universidade e instâncias ligadas à universidades;;;
Faculdade de Ciências, Educação e Teologia do Norte do Brasil;FACETEN;RR;universidade e instâncias ligadas à universidades;;;
Faculdade de Ciências e Tecnologia de Janaúba;FACITEC;MG;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS SILVA E SOUZA;FAU;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGÜERA DE SÃO JOSÉ;;SP;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO OPET;Uniopet;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE EINSTEIN;;BA;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO;UNDB;MA;universidade e instâncias ligadas à universidades;;;
FACULDADE UNIÃO DE CAMPO MOURÃO;;PR;universidade e instâncias ligadas à universidades;;;
INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação;INSIDE;DF;universidade e instâncias ligadas à universidades;;;
FACULDADE ESTÁCIO DE TERESINA;ESTÁCIO TERESINA;PI;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIA E TECNOLOGIA;FACITEC;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA DE ITABUNA;;BA;universidade e instâncias ligadas à universidades;;;
Faculdade de Martinópolis;FAMA;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ODONTOLOGIA DA APCD;FAOA;SP;universidade e instâncias ligadas à universidades;;;
FACULDADES INTEGRADAS SOARES DE OLIVEIRA;FISO;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Lusitana de Pernambuco;FALUP;PE;universidade e instâncias ligadas à universidades;;;
Faculdade de Educação Superior de Catalão;;GO;universidade e instâncias ligadas à universidades;;;
Faculdades de Ciências e Tecnologia do Nordeste LTDA;FACINE;CE;universidade e instâncias ligadas à universidades;;;
ESCOLA AGROTÉCNICA FEDERAL DE SALINAS;EAFSALINAS;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA ITABIRA;;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA DE SÃO PAULO;FATEC-SP;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE ESAMC FRANCA;ESAMC FRANCA;SP;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA;;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA DE MOCOCA;FATEC;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Direito de Ipatinga;FADIPA;MG;universidade e instâncias ligadas à universidades;;;
Instituto do Sul de Santa Catarina;;SC;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;DF;universidade e instâncias ligadas à universidades;;;
FACULDADE DE AMPÉRE;FAMPER;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE DE PALMAS;FAPAL;TO;universidade e instâncias ligadas à universidades;;;
FACULDADE DE NOVA MUTUM;;MT;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA, CAPACITAÇÃO E GESTÃO INTEGRAL;FAINTEC;PR;universidade e instâncias ligadas à universidades;;;
INSTITUTO PLENITUDE EDUCAÇÃO;IPLENI;SP;universidade e instâncias ligadas à universidades;;;
Faculdade ISMD;ISMD;MG;universidade e instâncias ligadas à universidades;;;
INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER;IFIBE;RS;universidade e instâncias ligadas à universidades;;;
ESCOLA SUPERIOR DE AVIAÇÃO CIVIL;ESAC;PB;universidade e instâncias ligadas à universidades;;;
Faculdade Liber de Porangatu;FacLiber;GO;universidade e instâncias ligadas à universidades;;;
Instituto de Desenvolvimento Educacional;IDE;PE;universidade e instâncias ligadas à universidades;;;
Faculdade Presidente Antônio Carlos de Campo Belo;FUNEES Campo Belo;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Presidente Antônio Carlos de Itabirito;;MG;universidade e instâncias ligadas à universidades;;;
INSTITUTO APHONSIANO DE ENSINO SUPERIOR;IAESUP;GO;universidade e instâncias ligadas à universidades;;;
Faculdade Guerra;FAG;DF;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ENFERMAGEM NOVA ESPERANÇA;FACENE;PB;universidade e instâncias ligadas à universidades;;;
FACULDADE BEZERRA DE ARAÚJO;FABA;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE PAULISTA;;SP;universidade e instâncias ligadas à universidades;;;
Faculdade de Tecnologia FTEC de Porto Alegre;FTEC Porto Alegre;RS;universidade e instâncias ligadas à universidades;;;
