Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Escola de Estudos Superiores de Viçosa;ESUV;MG;universidade e instâncias ligadas à universidades;;;
Escola de Governo Professor Paulo Neves de Carvalho;EG;MG;universidade e instâncias ligadas à universidades;;;
Escola de Medicina Souza Marques da Fundação Técnico-Educacional Souza Marques;EMSM;RJ;universidade e instâncias ligadas à universidades;;;
Escola de Música e Belas Artes do Paraná;EMBAP;PR;universidade e instâncias ligadas à universidades;;;
Escola de Negócios do Estado da Bahia - Eneb;ENEB;BA;universidade e instâncias ligadas à universidades;;;
Escola de Sociologia e Política de São Paulo;ESP;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior Batista do Amazonas;ESBAM;AM;universidade e instâncias ligadas à universidades;;;
Escola Superior da Amazônia;ESAMAZ;PA;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração de Empresas;INEA;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração e Gestão;ESAGS;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração e Marketing e Comunicação de Campinas;ESAMC DE CAMPINAS;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração, Direito e Economia;ESADE;RS;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração, Marketing e Comunicação de Maceió - ESAMC;ESAMC - Maceió;AL;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração, Marketing e Comunicação de Salvador;FACOC SALVADOR;BA;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração, Marketing e Comunicação de Santos;ESAMC Santos;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração, Marketing e Comunicação de Sorocaba;ESAMC Sorocaba;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Administração, Marketing e Comunicação de Uberlândia;ESAMC de Uberlândia;MG;universidade e instâncias ligadas à universidades;;;
Escola Superior de Agronomia de Paraguaçú Paulista;ESAPP;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Biologia e Meio Ambiente;ESMA;MG;universidade e instâncias ligadas à universidades;;;
Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória;EMESCAM;ES;universidade e instâncias ligadas à universidades;;;
Escola Superior de Ciências da Saúde;ESCS;DF;universidade e instâncias ligadas à universidades;;;
Escola Superior de Criciúma - Esucri;ESUCRI;SC;universidade e instâncias ligadas à universidades;;;
Escola Superior de Educação Corporativa;ESEC;SC;universidade e instâncias ligadas à universidades;;;
Escola Superior de Educação Física de Cruzeiro Prefeito Hamilton Vieira Mendes;ESEFIC;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Educação Física de Muzambinho;ESEFM;MG;universidade e instâncias ligadas à universidades;;;
Escola Superior de Ensino Anísio Teixeira;CESAT;ES;universidade e instâncias ligadas à universidades;;;
Escola Superior de Ensino Helena Antipoff;ESEHA;RJ;universidade e instâncias ligadas à universidades;;;
Escola Superior de Estudos Empresariais e Informática;ESEEI;PR;universidade e instâncias ligadas à universidades;;;
Escola Superior de Gestão Comercial e Marketing;ESIC;PR;universidade e instâncias ligadas à universidades;;;
Escola Superior de Marketing;ESM;PE;universidade e instâncias ligadas à universidades;;;
Escola Superior de Propaganda e Marketing;ESPM;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Propaganda e Marketing de Porto Alegre;ESPM - POA;RS;universidade e instâncias ligadas à universidades;;;
Escola Superior de Propaganda e Marketing do Rio de Janeiro;ESPM;RJ;universidade e instâncias ligadas à universidades;;;
Escola Superior de Relações Públicas;Esurp;PE;universidade e instâncias ligadas à universidades;;;
Escola Superior de Secretariado de Pernambuco;ESUSPE;PE;universidade e instâncias ligadas à universidades;;;
Escola Superior de Tecnologia e Educação de Porto Ferreira;ESPF;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Tecnologia e Educação de Rio Claro;ESRC;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior Dom Helder Câmara;ESDHC;MG;universidade e instâncias ligadas à universidades;;;
Escola Superior Madre Celeste;ESMAC;PA;universidade e instâncias ligadas à universidades;;;
Escola Superior São Francisco de Assis;ESFA;ES;universidade e instâncias ligadas à universidades;;;
Faculdade Ad 1;Unisaber;DF;universidade e instâncias ligadas à universidades;;;
Faculdade Adelmar Rosado;FAR;PI;universidade e instâncias ligadas à universidades;;;
Faculdade Adventista de Administração do Nordeste;FAAD;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Adventista de Educação do Nordeste;FAENE;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Adventista de Educação e Ciências Humanas;FAECH;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Adventista de Educação Física;FAEF;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Adventista de Fisioterapia;FAFIS;BA;universidade e instâncias ligadas à universidades;;;
Faculdade Adventista Paranaense;IAP;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Afirmativo;FAFI;MT;universidade e instâncias ligadas à universidades;;;
Faculdade Alagoana de Administração;FAA;AL;universidade e instâncias ligadas à universidades;;;
Faculdade Albert Einstein;FALBE;DF;universidade e instâncias ligadas à universidades;;;
