sociedade científica
associação acadêmica ou profissional
academia
colégio
grupos de estudo
federação
universidade
faculdade
instituição acadêmica
fundação dedicada a ensino e/ou pesquisa
centro de estudos e/ou pesquisa
ministérios
secretarias
instituto e centros ligados a ministérios e secretarias
editoras
institutos
empresas privadas
centro de estudos e pesquisa - não universidade
